clade,subgenus,bb.sp.lat,bb.sp,pbl.w,pbl.w.class,pbl.w.ref,Notes
SF,Alpigenobombus,Bombus wurflenii,wurf,7.5,2,Arbetman.2017,
SF,Bombus,Bombus ss,bss,6.9,1,Arbetman.2017,"B. terrestris = 7.6, B. lucorum = 6.1, B. cryptarum not given, but observed only once."
K,Kallobombus,Bombus soroeensis,soro,6.2,1,Arbetman.2017,
LF,Megabombus,Bombus gerstaeckeri,gers,16.8,5,Obeso.1992,
LF,Megabombus,Bombus hortorum,hort,12.7,5,Arbetman.2017,
SF,Melanobombus,Bombus lapidarius,lapi,7,1,Arbetman.2017,
M,Mendacibombus,Bombus mendax,mend,10.3,5,Durieux.2000,
LF,Psithyrus,Psithyrus,psit,6.6,1,Arbetman.2017,"Tongue lengths are given only for B. silvestris and B. quadricolor, both 6.6 mm.   "
SF,Pyrobombus,Bombus hypnorum,hypn,8.9,4,Arbetman.2017,
SF,Pyrobombus,Bombus jonellus,jone,6,1,Arbetman.2017,
SF,Pyrobombus,Bombus monticola,mont,7.5,2,Arbetman.2017,
SF,Pyrobombus,Bombus pratorum,prat,7.3,2,Arbetman.2017,
SF,Pyrobombus,Bombus pyrenaeus,pyre,6.1,1,Arbetman.2017,
LF,Thoracobombus,Bombus humilis,humi,7.9,2,Arbetman.2017,
LF,Thoracobombus,Bombus mucidus,muci,8,2,Arbetman.2017,
LF,Thoracobombus,Bombus pascuorum,pasc,8.4,3,Arbetman.2017,
